show_id,type,title,cast,release_year,duration,listed_in,platform
n767,movie,alan saldaña: locked up,alan saldaña,2021,49,stand up,netflix
n768,tv show,creator's file: gold,"ryuji akiyama, ryusei yokohama, yumi adachi, ai tominaga, mei nagano, aki yashiro, kyary pamyu pamyu, akira nakao, shino ikenami, joe odagiri",2021,1,"international, comedy",netflix
n769,movie,dancing queens,"molly nutley, fredrik quiñones, marie göranzon, mattias nordkvist, claes malmberg, christopher wollter, emil almén, razmus nyström, andré christenson, louie indriana, max ulveson",2021,111,"comedy, drama, international",netflix
n770,movie,from stress to happiness,sin datos,2020,58,"documentary, international",netflix
n771,movie,myriam fares: the journey,myriam fares,2021,72,"documentary, international, music",netflix
n772,tv show,pretty guardian sailor moon eternal the movie,"kotono mitsuishi, hisako kanemoto, rina satou, ami koshimizu, shizuka ito, misato fukuen, kenji nojima, junko minagawa, sayaka ohara, ai maeda, yukiyo fujii, ryo hirohashi, taishi murata, yoshitsugu matsuoka, shoko nakagawa, naomi watanabe, nanao",2021,1,tv shows,netflix
n773,tv show,summertime,"coco rebecca edogamhe, ludovico tersigni, amanda campana, andrea lattanzi, giovanni maini, alicia ann edogamhe, thony",2021,2,"international, romance, drama",netflix
n774,movie,the girl and the gun,"janine gutierrez, felix roco, jc santos, elijah canlas, sky teotico, archi adamos, allan paule, ruby ruiz, bie ruaro, jess mendoza",2019,78,"drama, international, thriller",netflix
n775,movie,2 hearts,"jacob elordi, adan canto, radha mitchell, tiera skovbye, kari matchett, tahmoh penikett",2020,101,"drama, faith & spirituality, romance",netflix
n776,movie,a perfect ending,"barbara niven, jessica clark, john heard, morgan fairchild, kerry knuppe, imelda corcoran, mary jane wells, rebecca staab, michael adam hamilton, bryan jackson, bryan mordechai jackson",2012,110,"drama, independent movies, lgbtq",netflix
n777,movie,american outlaws,"colin farrell, scott caan, ali larter, gabriel macht, gregory smith, harris yulin, kathy bates, timothy dalton, ty o'neal, will mccormack, ronny cox, terry o'quinn, muse watson, joe stevens, barry tubb",2001,94,action & adventure,netflix
n778,movie,and then came lola,"ashleigh sumner, jill bennett, cathy debuono, jessica graham, angelyna martinez, candy tolentino, linda ignazi, jenoa harlow, lisa dewey, kathy domenici",2009,70,"comedy, independent movies, lgbtq",netflix
n779,tv show,attack on titan,"yuki kaji, yui ishikawa, marina inoue, kisho taniyama, yu shimamura, yu kobayashi, shiori mikami, hiro shimono, ryota osaka, yoshimasa hosoya, tomohisa hashizume, saki fujita, hiroshi kamiya, daisuke ono, romi park, keiji fujiwara, kazuhiro yamaji, yusaku yara, takehito koyasu",2013,1,"anime, international",netflix
n780,movie,battlefield earth,"john travolta, barry pepper, forest whitaker, kim coates, sabine karsenti, richard tyson, kelly preston, michael macrae, shaun austin-olsen, tim post, michael byrne",2000,118,"action & adventure, cult movies, sci-fi & fantasy",netflix
n781,tv show,ben & holly's little kingdom,"preston nyman, sian taylor, ian puleston-davies, sara crowe, sarah ann kennedy, judy flynn, john sparkes, david graham",2019,2,kids,netflix
n782,movie,black holes | the edge of all we know,sin datos,2021,99,documentary,netflix
n783,movie,bliss,"craig sheffer, sheryl lee, terence stamp, casey siemaszko, spalding gray, lois chiles, blu mankuma, ken camroux-taylor, eli gabay, molly parker",1997,103,"drama, romance",netflix
n784,movie,carnaval,"giovana cordeiro, gkay, bruna inocencio, samya pascotto, flavia pavanelli, micael borges, jean pedro, rafael medrado, nikolas antunes, stella miranda",2021,95,"comedy, international, music",netflix
n785,movie,cloudburst,"olympia dukakis, ryan doucette, brenda fricker, kristin booth, michael mcphee, john dunsworth, jeremy akerman, mary-colin chisholm, kevin kincaid",2011,93,"comedy, drama, independent movies",netflix
n786,tv show,cocomelon,sin datos,2021,3,kids,netflix
n787,movie,company of heroes,"tom sizemore, chad michael collins, vinnie jones, dimitri diatchenko, neal mcdonough, jürgen prochnow, sam spruell, richard sammel, philip rham, alastair mackenzie",2013,101,"action & adventure, drama",netflix
n788,movie,cradle 2 the grave,"jet li, dmx, anthony anderson, kelly hu, tom arnold, mark dacascos, gabrielle union, michael jace, drag-on, paige hurd",2003,101,action & adventure,netflix
n789,movie,domestic disturbance,"john travolta, vince vaughn, teri polo, matt o'leary, ruben santiago-hudson, susan floyd, angelica page, steve buscemi, chris ellis",2001,89,thriller,netflix
